countryname,ccode,joinyear,form,mou,link,month,partner
Belarus,370,2014,部长会谈,合作议定书,https://www.yidaiyilu.gov.cn/xwzx/gnxw/76990.htm,,
Qatar,694,2014,国事访问,合作文件,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/6649.htm,,1
Kazakhstan,705,2014,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/bwdt/77007.htm,,
Sri Lanka,780,2014,部长会晤,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/bwdt/77052.htm,,
Poland,290,2015,第四次中国―中东欧国家领导人会晤,谅解备忘录,https://www.yidaiyilu.gov.cn/zchj/sbwj/76375.htm,,
Hungary,310,2015,外长访问,谅解备忘录,https://www.yidaiyilu.gov.cn/zchj/sbwj/76378.htm,,
Czech Republic,316,2015,第四次中国―中东欧国家领导人会晤,谅解备忘录,https://www.yidaiyilu.gov.cn/zchj/sbwj/76375.htm,,
Slovakia,317,2015,第四次中国―中东欧国家领导人会晤,谅解备忘录,https://www.yidaiyilu.gov.cn/zchj/sbwj/76375.htm,,
Macedonia,343,2015,部长会晤,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/bwdt/76972.htm,,
Bulgaria,355,2015,第四次中国―中东欧国家领导人会晤,谅解备忘录,https://www.yidaiyilu.gov.cn/zchj/sbwj/76375.htm,,
Romania,360,2015,部长会谈,谅解备忘录,https://www.yidaiyilu.gov.cn/ghsl/gnzjgd/76977.htm,,
Russia,365,2015,国事访问,联合声明,https://www.yidaiyilu.gov.cn/zchj/sbwj/2427.htm,,
Ukraine,369,2015,未报道,合作协议,https://www.yidaiyilu.gov.cn/xwzx/hwxw/26687.htm,,
Armenia,371,2015,国事访问,联合声明,https://www.yidaiyilu.gov.cn/zchj/sbwj/7972.htm,,
Georgia,372,2015,部长会晤,合作备忘录,https://www.yidaiyilu.gov.cn/xwzx/hwxw/77005.htm,,
Azerbaijan,373,2015,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/7024.htm,,
South Africa,560,2015,中非合作论坛约翰内斯堡峰会,谅解备忘录,,,
Turkey,640,2015,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/77006.htm,,
Iraq,645,2015,国事访问,联合声明,http://www.xinhuanet.com/world/2015-12/22/c_1117546252.htm,,1
Tajikistan,702,2015,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/bwdt/77051.htm,,
Uzbekistan,704,2015,政府间合作委员会,议定书,https://www.yidaiyilu.gov.cn/xwzx/hwxw/77004.htm,,
South Korea,732,2015,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/bwdt/77053.htm,,
Latvia,367,2016,第五次中国―中东欧国家领导人会晤前国事访问,谅解备忘录,http://fec.mofcom.gov.cn/article/fwydyl/zgzx/201803/20180302718525.shtml,,
Iran,630,2016,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/zchj/sbwj/2422.htm,,1
Egypt,651,2016,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/76992.htm,,1
Saudi Arabia,670,2016,国事访问,联合声明,https://www.yidaiyilu.gov.cn/zchj/sbwj/2420.htm,,1
Afghanistan,700,2016,国事访问,联合声明,http://www.gov.cn/xinwen/2016-05/18/content_5074519.htm,,
Bangladesh,771,2016,金砖国家领导人第八次会晤前国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/yw/sxjdt/1878.htm,,
Cambodia,811,2016,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/yw/gnyw/1835.htm,,
Laos,812,2016,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/bwdt/77003.htm,,
Panama,95,2017,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/35763.htm,11,
Albania,339,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
Montenegro,341,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
Croatia,344,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
Bosnia and Herzegovi,346,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
Slovenia,349,2017,第六次中国-中东欧国家领导人会晤,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/37453.htm,11,
Moldova,359,2017,第六次中国-中东欧国家领导人会晤,未报道,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/37453.htm,11,
Estonia,366,2017,第六次中国-中东欧国家领导人会晤,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/37453.htm,11,
Lithuania,368,2017,第六次中国-中东欧国家领导人会晤,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/37453.htm,11,
Madagascar,580,2017,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/10177.htm,3,
Morocco,600,2017,外长北京会谈,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/35379.htm,11,
Sudan,625,2017,大使馆,谅解备忘录,http://sd.china-embassy.gov.cn/zsgx/zlk/202001/t20200114_7274808.htm,8,
Lebanon,660,2017,部长会谈,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/bwdt/27891.htm,9,
Mongolia,712,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
Pakistan,770,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
Myanmar,775,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
Maldives,781,2017,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xjbyydyl/xjbtt/38998.htm,12,
Nepal,790,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
Thailand,800,2017,新兴市场国家与发展中国家对话会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/26213.htm,9,
Vietnam,816,2017,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/34250.htm,11,
Malaysia,820,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
Singapore,830,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
Brunei,835,2017,国事访问,合作文件,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/28016.htm,9,
East Timor,860,2017,第一届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/13690.htm,5,
New Zealand,920,2017,国事访问,安排备忘录,https://www.yidaiyilu.gov.cn/zchj/sbwj/10378.htm,3,
Cuba,40,2018,未报道,谅解备忘录,https://www.yidaiyilu.gov.cn/ghsl/hwksl/83424.htm,,
Dominican Republic,42,2018,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/70504.htm,,
Trinidad and Tobago,52,2018,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/55322.htm,,
Dominica,54,2018,大使馆,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/62368.htm,,
Grenada,55,2018,大使馆,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/hwxw/66879.htm,,
Antigua & Barbuda,58,2018,大使馆,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/57152.htm,,
El Salvador,92,2018,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/70490.htm,,
Costa Rica,94,2018,大使外长,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/64982.htm,,
Portugal,235,2018,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/zchj/sbwj/73795.htm,,
Austria,305,2018,国事访问,联合声明,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/52210.htm,,1
Malta,338,2018,部长会谈,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/70908.htm,,
Greece,350,2018,外长北京会谈,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/63988.htm,,
Norway,385,2018,国事访问,合作文件,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/60854.htm,,
Cape Verde,402,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Gambia,420,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Senegal,433,2018,国事访问（金砖国家领导人第十次会晤之前）,谅解备忘录,https://www.ydylcn.com/zx/zdfzzc/340325.shtml,,
Mauritania,435,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Ivory Coast,437,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Guinea,438,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Sierra Leone,451,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Ghana,452,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Togo,461,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Cameroon,471,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Nigeria,475,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Gabon,481,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Chad,483,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Congo,484,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Uganda,500,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Kenya,501,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Tanzania,510,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Burundi,516,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Rwanda,517,2018,国事访问,合作文件,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/60854.htm,,
Somalia,520,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Djibouti,522,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Ethiopia,530,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Angola,540,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Mozambique,541,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Zambia,551,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Zimbabwe,552,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Namibia,565,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Seychelles,591,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Algeria,615,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Tunisia,616,2018,中阿合作论坛部长级会议,备忘录,https://www.yidaiyilu.gov.cn/xwzx/bwdt/59888.htm,,
Libya,620,2018,中阿合作论坛部长级会议,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/bwdt/59893.htm,,
South Sudan,626,2018,中非合作论坛北京峰会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/66324.htm,,
Kuwait,690,2018,国事访问,联合声明,https://www.yidaiyilu.gov.cn/zchj/sbwj/59699.htm,,1
Bahrain,692,2018,中阿合作论坛部长级会议,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/59691.htm,,
United Arab Emirates,696,2018,国事访问,谅解备忘录,https://www.ydylcn.com/zx/zdfzzc/340266.shtml,,1
Oman,698,2018,外长访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/55449.htm,,
Kyrgyzstan,703,2018,国事访问,联合声明,https://www.yidaiyilu.gov.cn/zchj/sbwj/57311.htm,,1
Philippines,840,2018,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/zchj/sbwj/72336.htm,,
Indonesia,850,2018,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/71930.htm,,
Papua New Guinea,910,2018,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/58445.htm,,
Vanuatu,935,2018,大使馆,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/roll/79468.htm,,
Fiji,950,2018,大使馆,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/hwxw/71431.htm,,
Tonga,955,2018,亚太经合组织第二十六次领导人非正式会议,合作备忘录,"http://obor.nea.gov.cn/detail2/8531.html#:~:text=2018%E5%B9%B4%EF%BC%8C%E4%B8%AD%E6%B1%A4,%E8%89%B2%E3%80%81%E5%8F%AF%E6%8C%81%E7%BB%AD%E5%8F%91%E5%B1%95%E3%80%82",,
Federated States of Micronesia,987,2018,亚太经合组织第二十六次领导人非正式会议,合作备忘录,"http://obor.nea.gov.cn/detail2/8531.html#:~:text=2018%E5%B9%B4%EF%BC%8C%E4%B8%AD%E6%B1%A4,%E8%89%B2%E3%80%81%E5%8F%AF%E6%8C%81%E7%BB%AD%E5%8F%91%E5%B1%95%E3%80%82",,
Samoa,990,2018,国事访问,谅解备忘录,http://ws.china-embassy.gov.cn/chn/sgxw/201904/t20190430_22811.htm,,
Venezuela,101,2018,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/66294.htm,,
Guyana,110,2018,大使馆,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/62238.htm,,
Suriname,115,2018,未报道,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/67082.htm,,
Ecuador,130,2018,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/74518.htm,,
Bolivia,145,2018,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/58216.htm,,1
Chile,155,2018,部长会谈,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/70484.htm,,
Uruguay,165,2018,外长会谈,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/63220.htm,,
Jamaica,51,2019,大使馆,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/85622.htm,,
Barbados,53,2019,部长会谈,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/hwxw/80284.htm,,
Luxembourg,212,2019,博鳌亚洲论坛年会,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/84178.htm,,
Italy,325,2019,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/83639.htm,,
Cyprus,352,2019,第二届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/88219.htm,,
Equatorial Guinea,411,2019,第二届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/88219.htm,,
Mali,432,2019,大使代表总统府,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/98227.htm,,
Benin,434,2019,中非合作论坛北京峰会成果落实协调人会议,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/roll/106150.htm,,
Niger,436,2019,第二届高峰论坛,能源合作伙伴关系,"http://obor.nea.gov.cn/pictureDetails.html?id=2459#:~:text=2019%E5%B9%B44%E6%9C%8825%E6%97%A5%EF%BC%8C%E5%B0%BC%E6%97%A5%E5%B0%94%E6%AD%A3%E5%BC%8F%E5%8A%A0%E5%85%A5%E2%80%9C%E4%B8%80%E5%B8%A6%E4%B8%80%E8%B7%AF%E2%80%9D%E8%83%BD%E6%BA%90%E5%90%88%E4%BD%9C%E4%BC%99%E4%BC%B4%E5%85%B3%E7%B3%BB%EF%BC%8C%E4%B8%AD%E5%B0%BC%E5%8F%8C%E6%96%B9%E5%B0%86%E5%9C%A8%E8%83%BD%E6%BA%90%E9%A2%86%E5%9F%9F%E7%BB%A7%E7%BB%AD%E6%B7%B1%E5%8C%96%E5%8A%A1%E5%AE%9E%E5%90%88%E4%BD%9C%E3%80%82%20%E5%9C%A8%E4%B8%AD%E5%B0%BC%E5%BB%BA%E4%BA%A445%E5%91%A8%E5%B9%B4%E4%B9%8B%E9%99%85%EF%BC%8C%E8%AE%A9%E6%88%91%E4%BB%AC%E4%B8%80%E8%B5%B7%E8%B5%B0%E8%BF%9B%E5%B0%BC%E6%97%A5%E5%B0%94%EF%BC%8C%E4%BA%86%E8%A7%A3%E5%B0%BC%E6%97%A5%E5%B0%94%E3%80%82%20%E2%97%8E%20%E5%B0%BC%E6%97%A5%E5%B0%94%E4%BD%8D%E4%BA%8E%E6%92%92%E5%93%88%E6%8B%89%E6%B2%99%E6%BC%A0%E5%8D%97%E7%BC%98%E5%8C%97%E7%BA%AC%2011%20%EF%BD%9E,23%20%E5%BA%A6%E3%80%81%E4%B8%9C%E7%BB%8F%200%20%EF%BD%9E%2016%20%E5%BA%A6%E4%B9%8B%E9%97%B4%E3%80%82",,
Liberia,450,2019,第二届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/88219.htm,,
Lesotho,570,2019,中非合作论坛北京峰会成果落实协调人会议,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/roll/106150.htm,,
Comoros,581,2019,中非合作论坛北京峰会成果落实协调人会议,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/roll/106150.htm,,
Yemen,679,2019,第二届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/88219.htm,,
Solomon Islands,940,2019,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/105560.htm,,
Peru,135,2019,第二届高峰论坛,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/gnxw/88219.htm,,
Kiribati,946,2020,国事访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/xgcdt/114695.htm,,
Sao Tome and Principe,403,2021,大使馆,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/hwxw/206129.htm,,
Guinea-Bissau,404,2021,大使馆,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/hwxw/200431.htm,,
Burki Faso,439,2021,大使馆,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/hwxw/202665.htm,,
Central African Republic,482,2021,大使馆,谅解备忘录,https://mp.weixin.qq.com/s/KkAXHxoBxcfzKT6TKUj5CQ,,
Democratic Republic of the Congo,490,2021,外长访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/bwdt/160582.htm,,
Eritrea,531,2021,大使馆,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/hwxw/201458.htm,,
Botswana,571,2021,外长访问,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/bwdt/160814.htm,,
Nicaragua,93,2022,政府签署,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/hwxw/214675.htm,,
Malawi,553,2022,大使馆,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/hwxw/230217.htm,,
Syria,652,2022,大使馆,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/hwxw/214325.htm,,
Argentina,160,2022,部长会谈,谅解备忘录,https://www.yidaiyilu.gov.cn/xwzx/bwdt/219946.htm,,
United States of America,2,,,,,,
Canada,20,,,,,,
Bahamas,31,,,,,,
Haiti,41,,,,,,
St. Lucia,56,,,,,,
St. Vincent and the Grenadines,57,,,,,,
St. Kitts and Nevis,60,,,,,,
Mexico,70,,,,,,
Belize,80,,,,,,
Guatemala,90,,,,,,
Honduras,91,,,,,,
United Kingdom,200,,,,,,
Ireland,205,,,,,,
Netherlands,210,,,,,,
Belgium,211,,,,,,
France,220,,,,,,
Monaco,221,,,,,,
Liechtenstein,223,,,,,,
Switzerland,225,,,,,,
Spain,230,,,,,,
Andorra,232,,,,,,
Germany,255,,,,,,
San Marino,331,,,,,,
Kosovo,347,,,,,,
Finland,375,,,,,,
Sweden,380,,,,,,
Denmark,390,,,,,,
Iceland,395,,,,,,
Swaziland,572,,,,,,
Mauritius,590,,,,,,
Jordan,663,,,,,,
Israel,666,,,,,,
Turkmenistan,701,,,,,,
North Korea,731,,,,,,
Japan,740,,,,,,
India,750,,,,,,
Bhutan,760,,,,,,
Australia,900,,,,,,
Tuvalu,947,,,,,,
Nauru,970,,,,,,
Marshall Islands,983,,,,,,
Palau,986,,,,,,
Colombia,100,,,,,,
Brazil,140,,,,,,
Paraguay,150,,,,,,
Serbia,NA,2015,,,,,